PMID,Title,Authors,First Author,Journal/Book,Publication Year,Create Date
33485057,Automatic cardiac cine MRI segmentation and heart disease classification,"Ammar A, Bouattane O, Youssfi M.",Ammar A,Comput Med Imaging Graph,2021,23-01-2021
22441190,Effect of kidney transplantation on cardiac morphology and function,"Souza FL, Monteiro Junior Fd, Salgado Filho N.",Souza FL,J Bras Nefrol,2012,24-03-2012
10098253,Critical care cardiology,"Marks SL, Abbott JA.",Marks SL,Vet Clin North Am Small Anim Pract,1998,31-03-1999
16242853,Hypoplastic left heart syndrome: Rheumatic heart disease of the fetus?,Eghtesady P.,Eghtesady P,Med Hypotheses,2006,26-10-2005
26059869,Impact of Heart Disease on Maternal and Fetal Outcomes in Pregnant Women,"Koutrolou-Sotiropoulou P, Parikh PB, Miller C, Lima FV, Butler J, Stergiopoulos K.",Koutrolou-Sotiropoulou P,Am J Cardiol,2015,11-06-2015
25912740,Predictors and Outcome of Extracorporeal Life Support After Pediatric Heart Transplantation,"Simmonds J, Dominguez T, Longman J, Shastri N, O'Callaghan M, Hoskote A, Fenton M, Burch M, Tsang V, Brown K.",Simmonds J,Ann Thorac Surg,2015,28-04-2015
21889808,Predictors of smoking cessation in 50-66-year-old male Taiwanese smokers: a 7-year national cohort study,"Tsai AC, Lin YA, Tsai HJ.",Tsai AC,Arch Gerontol Geriatr,2012,06-09-2011
31894523,Predictors of Quality of Life in Patients with Heart Disease,"Soleimani MA, Zarabadi-Pour S, Motalebi SA, Allen KA.",Soleimani MA,J Relig Health,2020,03-01-2020
28296198,Mechanical and microstructural analysis of a radially expandable vascular conduit for neonatal and pediatric cardiovascular surgery,"Loneker AE, Luketich SK, Bernstein D, Kalra A, Nugent AW, D'Amore A, Faulk DM.",Loneker AE,J Biomed Mater Res B Appl Biomater,2018,16-03-2017
24744042,Perceived barriers to primary care among western Canadians with chronic conditions,"Ronksley PE, Sanmartin C, Campbell DJ, Weaver RG, Allan GM, McBrien KA, Tonelli M, Manns BJ, Hennessy D, Hemmelgarn BR.",Ronksley PE,Health Rep,2014,19-04-2014
30395198,Foetal hypoxia impacts methylome and transcriptome in developmental programming of heart disease,"Huang L, Chen X, Dasgupta C, Chen W, Song R, Wang C, Zhang L.",Huang L,Cardiovasc Res,2019,06-11-2018
35078371,Heart Disease and Stroke Statistics-2022 Update: A Report From the American Heart Association,"Tsao CW, Aday AW, Almarzooq ZI, Alonso A, Beaton AZ, Bittencourt MS, Boehme AK, Buxton AE, Carson AP, Commodore-Mensah Y, Elkind MSV, Evenson KR, Eze-Nliam C, Ferguson JF, Generoso G, Ho JE, Kalani R, Khan SS, Kissela BM, Knutson KL, Levine DA, Lewis TT, Liu J, Loop MS, Ma J, Mussolino ME, Navaneethan SD, Perak AM, Poudel R, Rezk-Hanna M, Roth GA, Schroeder EB, Shah SH, Thacker EL, VanWagner LB, Virani SS, Voecks JH, Wang NY, Yaffe K, Martin SS.",Tsao CW,Circulation,2022,26-01-2022
37885373,Systematic use of half normal saline during ablation of ventricular tachycardia in structural heart disease,"Cherbi M, Voglimacci-Stephanopoli Q, Delasnerie H, Mandel F, Domain G, Foltran D, Mondoly P, Beneyto M, Rollin A, Maury P.",Cherbi M,Pacing Clin Electrophysiol,2023,27-10-2023
23194483,A qualitative systematic review of influences on attendance at cardiac rehabilitation programs after referral,"Clark AM, King-Shier KM, Thompson DR, Spaling MA, Duncan AS, Stone JA, Jaglal SB, Angus JE.",Clark AM,Am Heart J,2012,01-12-2012
11954951,Long-term efficacy of empirical chronic amiodarone therapy in patients with sustained ventricular tachyarrhythmia and structural heart disease,"Aiba T, Kurita T, Taguchi A, Shimizu W, Suyama K, Aihara N, Kamakura S.",Aiba T,Circ J,2002,17-04-2002
10618899,Progression of congenital heart disease in the prenatal period,"Maeno Y, Himeno W, Fujino H, Sugahara Y, Furui J, Mizumoto Y, Kato H.",Maeno Y,Pediatr Int,1999,05-01-2000
25500998,Counseling role of primary care physicians in preventing early childhood caries in children with congenital heart disease,"Liu Z, Yu D, Zhou L, Yang J, Lu J, Lu H, Zhao W.",Liu Z,Int J Environ Res Public Health,2014,16-12-2014
9161557,[Psychopathological disorders and coronary diseases],"Boisseau R, Servant D, Parquet PJ.",Boisseau R,Rev Med Interne,1997,01-01-1997
12570949,"Ablation of electrograms with an isolated, delayed component as treatment of unmappable monomorphic ventricular tachycardias in patients with structural heart disease","Arenal A, Glez-Torrecilla E, Ortiz M, Villacastín J, Fdez-Portales J, Sousa E, del Castillo S, Perez de Isla L, Jimenez J, Almendral J.",Arenal A,J Am Coll Cardiol,2003,07-02-2003
25216620,"Cardiac imaging in the geriatric population: what do we think we know, and what do we need to learn?","Mehta N, Chokshi NP, Kirkpatrick JN.",Mehta N,Prog Cardiovasc Dis,2014,14-09-2014
22574857,News media coverage of trans fat: health risks and policy responses,"Jarlenski M, Barry CL.",Jarlenski M,Health Commun,2013,12-05-2012
11956130,Inhibition of calcineurin and sarcolemmal Ca2+ influx protects cardiac morphology and ventricular function in K(v)4.2N transgenic mice,"Sah R, Oudit GY, Nguyen TT, Lim HW, Wickenden AD, Wilson GJ, Molkentin JD, Backx PH.",Sah R,Circulation,2002,17-04-2002
29984651,Current Concepts and Perspectives on Connexin43: A Mini Review,"Zhang Q, Bai X, Liu Y, Wang K, Shen B, Sun X.",Zhang Q,Curr Protein Pept Sci,2018,10-07-2018
27093686,Are classic predictors of voltage valid in cardiac amyloidosis? A contemporary analysis of electrocardiographic findings,"Sperry BW, Vranian MN, Hachamovitch R, Joshi H, McCarthy M, Ikram A, Hanna M.",Sperry BW,Int J Cardiol,2016,20-04-2016
11249540,"72nd Meeting of the American Heart Association. November 1999, Atlanta, Georgia, USA",Lunnon MW.,Lunnon MW,Expert Opin Pharmacother,2000,16-03-2001
32615980,Prediction of heart disease and classifiers' sensitivity analysis,Almustafa KM.,Almustafa KM,BMC Bioinformatics,2020,04-07-2020
11303378,Parental knowledge and views of pediatric congenital heart disease,"Beeri M, Haramati Z, Rein JJ, Nir A.",Beeri M,Isr Med Assoc J,2001,17-04-2001
15030251,Etiology of valvular heart disease,Boudoulas H.,Boudoulas H,Expert Rev Cardiovasc Ther,2003,20-03-2004
16389141,Translating a plan into action: a Public Health Action Plan to Prevent Heart Disease and Stroke,"Labarthe DR, Biggers A, Goff DC Jr, Houston M.",Labarthe DR,Am J Prev Med,2005,04-01-2006
26846643,Myocarditis,"Fung G, Luo H, Qiu Y, Yang D, McManus B.",Fung G,Circ Res,2016,06-02-2016
24180710,Cardiopulmonary bypass has a modest association with cancer progression: a retrospective cohort study,"Pinto CA, Marcella S, August DA, Holland B, Kostis JB, Demissie K.",Pinto CA,BMC Cancer,2013,05-11-2013
27443437,High-Risk Cardiac Disease in Pregnancy: Part I,"Elkayam U, Goland S, Pieper PG, Silverside CK.",Elkayam U,J Am Coll Cardiol,2016,23-07-2016
28138132,Breathing SPACE-a practical approach to the breathless patient,"Hopkinson NS, Baxter N; London Respiratory Network.",Hopkinson NS,NPJ Prim Care Respir Med,2017,01-02-2017
9009477,Serum alpha-1-antitrypsin in ischemia and rheumatic heart diseases,"Somayajulu GL, Reddy PP.",Somayajulu GL,Indian J Pathol Microbiol,1996,01-10-1996
7538079,Cardiac manifestations in mid-gut carcinoid disease,"Jacobsen MB, Nitter-Hauge S, Bryde PE, Hanssen LE.",Jacobsen MB,Eur Heart J,1995,01-02-1995
11850306,Age- and sex-related bias in the management of heart disease in a district general hospital,"Dudley NJ, Bowling A, Bond M, McKee D, McClay Scott M, Banning A, Elder AT, Martin AT, Blackman I.",Dudley NJ,Age Ageing,2002,19-02-2002
2916544,"Heart disease risk factors, diabetes, and prostatic cancer in an adult community","Thompson MM, Garland C, Barrett-Connor E, Khaw KT, Friedlander NJ, Wingard DL.",Thompson MM,Am J Epidemiol,1989,01-03-1989
18288183,Stem-cell therapy for cardiac disease,"Segers VF, Lee RT.",Segers VF,Nature,2008,22-02-2008
9386139,Risk and predictors for pregnancy-related complications in women with heart disease,"Siu SC, Sermer M, Harrison DA, Grigoriadis E, Liu G, Sorensen S, Smallhorn JF, Farine D, Amankwah KS, Spears JC, Colman JM.",Siu SC,Circulation,1997,31-12-1997
33039359,Fourth Annual Pediatric Interagency Registry for Mechanical Circulatory Support (Pedimacs) Report,"Morales DLS, Adachi I, Peng DM, Sinha P, Lorts A, Fields K, Conway J, St Louis JD, Cantor R, Koehl D, Jacobs JP, Kirklin JK, Blume ED, Rossano JW; Pedimacs Investigators.",Morales DLS,Ann Thorac Surg,2020,11-10-2020
836736,Chronic bilateral bundle-branch block. Long-term observations in ambulatory patients,"Lister JW, Kline RS, Lesser ME.",Lister JW,Br Heart J,1977,01-02-1977
31951314,Living with the dilemma of the treatment for human epidermal growth factor receptor 2-positive breast cancer and the risk of incident heart disease: A qualitative investigation of patients' experiences,"Sødequist C, S Pedersen S, Banke ABS, Rottmann N.",Sødequist C,Eur J Cancer Care (Engl),2020,18-01-2020
34632581,Impact of lipoprotein(a) level on cardiometabolic disease in the Chinese population: The CHCN-BTH Study,"Xia J, Guo C, Cao H, Liu K, Peng W, Sun Y, Xie Y, Li B, Zhang F, Wen F, Zhang L.",Xia J,Eur J Clin Invest,2022,11-10-2021
20352312,Parent and emergency physician comfort with a system of on-line emergency-focused medical summaries for infants with significant cardiac disease,"Pyles LA, Scheid M, McBrady MP, Hoyman KH, Hanse M, Jamrozek K, Hannan JC, Baker CM, Duval SJ, Moller JH, Hines CI.",Pyles LA,Matern Child Health J,2011,31-03-2010
15094356,Gap junction alterations in human cardiac disease,"Severs NJ, Coppen SR, Dupont E, Yeh HI, Ko YS, Matsushita T.",Severs NJ,Cardiovasc Res,2004,20-04-2004
26077545,Analytical validation of an immunoassay for the quantification of N-terminal pro-B-type natriuretic peptide in feline blood,"Mainville CA, Clark GH, Esty KJ, Foster WM, Hanscom JL, Hebert KJ, Lyons HR.",Mainville CA,J Vet Diagn Invest,2015,17-06-2015
23280242,Atrial tachyarrhythmias and the Cox-maze procedure in congenital heart disease,"Gutierrez SD, Earing MG, Singh AK, Tweddell JS, Bartz PJ.",Gutierrez SD,Congenit Heart Dis,2013,03-01-2013
38045022,The Depiction of Hypertension in Heart Imaging Examinations: An Up-to-Date Review of the Evidence,"Vasileiadis K, Antza C, Kotsis V.",Vasileiadis K,Vasc Health Risk Manag,2023,04-12-2023
23076485,Three-dimensional ultrasound in cardiological diagnostics,"Urheim S, Andersen K, Aakhus S.",Urheim S,Tidsskr Nor Laegeforen,2012,19-10-2012
24192594,Cardiovascular disease in pregnancy: (women's health series),"Nickens MA, Long RC, Geraci SA.",Nickens MA,South Med J,2013,07-11-2013
24951544,Psychosocial outcomes of a summer overnight recreational experience for children with heart disease,"Bultas MW, Steurer LM, Balakas K, Brooks C, Fields H.",Bultas MW,J Child Health Care,2015,22-06-2014
27236281,Deficient Surrounding Rims in Patients Undergoing Transcatheter Atrial Septal Defect Closure,"Kijima Y, Akagi T, Takaya Y, Taniguchi M, Nakagawa K, Kusano K, Sano S, Ito H.",Kijima Y,J Am Soc Echocardiogr,2016,30-05-2016
17033504,Firefighter heart presumption retirements in Massachusetts 1997-2004,"Holder JD, Stallings LA, Peeples L, Burress JW, Kales SN.",Holder JD,J Occup Environ Med,2006,13-10-2006
33190537,Noninvasive Echocardiographic Left Ventricular Stroke Work Index Predicts Mortality in Cardiac Intensive Care Unit Patients,"Jentzer JC, Anavekar NS, Burstein BJ, Borlaug BA, Oh JK.",Jentzer JC,Circ Cardiovasc Imaging,2020,16-11-2020
12943604,Diabetes and heart disease an evidence-driven guide to risk factors management in diabetes,"Lteif AA, Mather KJ, Clark CM.",Lteif AA,Cardiol Rev,2003,29-08-2003
15660349,Distance correction in the electrocardiographic estimation of left ventricular mass,"Machado RA, Vazquez ML, Nordaby RA, Campo A, Esper RJ.",Machado RA,J Electrocardiol,2005,22-01-2005
10149220,Clinical perspectives of intravascular ultrasound,"Roelandt J, Serruys PW, Tuccillo B, Gussenhoven WJ.",Roelandt J,Echocardiography,1990,08-06-1990
19246489,A novel corticotropin-releasing factor receptor splice variant exhibits dominant negative activity: a putative link to stress-induced heart disease,"Sztainberg Y, Kuperman Y, Issler O, Gil S, Vaughan J, Rivier J, Vale W, Chen A.",Sztainberg Y,FASEB J,2009,28-02-2009
9735680,"Dietary fat, trans fatty acids, and risk of coronary heart disease",Nelson GJ.,Nelson GJ,Nutr Rev,1998,15-09-1998
7857736,Prospective assessment of the value of a chest radiograph in the performance of diagnostic cardiac catheterisation in adults,"Stables RH, Trotman-Dickenson B.",Stables RH,Br Heart J,1994,01-12-1994
36585036,"Sex-specific and age-specific incidence of ischaemic heart disease, atrial fibrillation and heart failure in community patients with chronic obstructive pulmonary disease","Groenewegen A, Zwartkruis VW, Smit LJ, de Boer RA, Rienstra M, Hoes AW, Hollander M, Rutten FH.",Groenewegen A,BMJ Open Respir Res,2022,30-12-2022
18220848,Application of stem cells in cardiology: where we are and where we are going,"Marín-García J, Goldenthal MJ.",Marín-García J,Curr Stem Cell Res Ther,2006,29-01-2008
21347599,Changing demographics of valvular heart disease and impact on surgical and transcatheter valve therapies,"Vahanian A, Iung B, Himbert D, Nataf P.",Vahanian A,Int J Cardiovasc Imaging,2011,25-02-2011
34984466,Advance Care Planning Preferences for Adolescents With Cardiac Disease,"Hansen K, Edwards LA, Yohannes K, Luong R, Lin A, Long J, Halpern-Felsher B, Cohen H, Kaufman BD.",Hansen K,Pediatrics,2022,05-01-2022
33028509,Highlights of the 15th annual scientific meeting of the Society of Cardiovascular Computed Tomography,"Weir-McCall JR, Branch K, Ferencik M, Blankstein R, Choi AD, Ghoshhajra BB, Chinnaiyan K, Parwani P, Nicol E, Nieman K.",Weir-McCall JR,J Cardiovasc Comput Tomogr,2020,08-10-2020
39212775,"Endocarditis in Adult Congenital Heart Disease Patients: Prevention, Recognition, and Management","Carvajal V, Reyes FB, Gonzalez D, Schwartz M, Whiltlow A, Alegria JR.",Carvajal V,Curr Cardiol Rep,2024,30-08-2024
22815970,"Home-based aerobic interval training improves peak oxygen uptake equal to residential cardiac rehabilitation: a randomized, controlled trial","Moholdt T, Bekken Vold M, Grimsmo J, Slørdahl SA, Wisløff U.",Moholdt T,PLoS One,2012,21-07-2012
32921216,"COVID-19 and cardiac injury: clinical manifestations, biomarkers, mechanisms, diagnosis, treatment, and follow up","Tajbakhsh A, Gheibi Hayat SM, Taghizadeh H, Akbari A, Inabadi M, Savardashtaki A, Johnston TP, Sahebkar A.",Tajbakhsh A,Expert Rev Anti Infect Ther,2021,14-09-2020
27351174,Congenital and childhood atrioventricular blocks: pathophysiology and contemporary management,"Baruteau AE, Pass RH, Thambo JB, Behaghel A, Le Pennec S, Perdreau E, Combes N, Liberman L, McLeod CJ.",Baruteau AE,Eur J Pediatr,2016,29-06-2016
21665432,Feasibility of intraoperative three-dimensional transesophageal echocardiography in the evaluation of right ventricular volumes and function in patients undergoing cardiac surgery,"Fusini L, Tamborini G, Gripari P, Maffessanti F, Mazzanti V, Muratori M, Salvi L, Sisillo E, Caiani EG, Alamanni F, Fiorentini C, Pepi M.",Fusini L,J Am Soc Echocardiogr,2011,14-06-2011
24417367,Hear the beat: decellularized mouse heart regenerated with human induced pluripotent stem cells,"Lin B, Lu TY, Yang L.",Lin B,Expert Rev Cardiovasc Ther,2014,15-01-2014
12701654,Results of a heart disease risk-factor screening among traditional college students,Spencer L.,Spencer L,J Am Coll Health,2002,19-04-2003
11823450,"The relationship between somatic mtDNA rearrangements, human heart disease and aging","Kajander OA, Karhunen PJ, Jacobs HT.",Kajander OA,Hum Mol Genet,2002,02-02-2002
22331234,"Echocardiographic diagnoses in HIV-infected patients presenting with cardiac symptoms at Muhimbili National Hospital in Dar es Salaam, Tanzania","Chillo P, Bakari M, Lwakatare J.",Chillo P,Cardiovasc J Afr,2012,15-02-2012
26033645,Concise Review: Cardiac Disease Modeling Using Induced Pluripotent Stem Cells,"Yang C, Al-Aama J, Stojkovic M, Keavney B, Trafford A, Lako M, Armstrong L.",Yang C,Stem Cells,2015,03-06-2015
24635402,"Cardiac hydatid disease, case report, and review of literature","Younis SN, Faraj AA.",Younis SN,Acta Clin Belg,2014,19-03-2014
27771272,"Stress, anxiety and depression in heart disease patients: A major challenge for cardiac rehabilitation","Chauvet-Gelinier JC, Bonin B.",Chauvet-Gelinier JC,Ann Phys Rehabil Med,2017,25-10-2016
22317806,"Using marginal structural models to estimate the direct effect of adverse childhood social conditions on onset of heart disease, diabetes, and stroke","Nandi A, Glymour MM, Kawachi I, VanderWeele TJ.",Nandi A,Epidemiology,2012,10-02-2012
1401613,Decreased concentration of myofibrils and myofiber hypertrophy are structural determinants of impaired left ventricular function in patients with chronic heart diseases: a multiple logistic regression analysis,"Zimmer G, Zimmermann R, Hess OM, Schneider J, Kübler W, Krayenbuehl HP, Hagl S, Mall G.",Zimmer G,J Am Coll Cardiol,1992,01-11-1992
37682417,Evaluation of myocardial strain in patients with subclinical hypertrophic cardiomyopathy and subclinical Hypertensive Heart Disease using Cardiac magnetic resonance feature tracking,"Hao X, Wu J, Zhu L, Li X.",Hao X,Int J Cardiovasc Imaging,2023,08-09-2023
31019158,Usefulness of Liver Stiffness on Ultrasound Shear-Wave Elastography for the Evaluation of Central Venous Pressure in Children With Heart Diseases,"Terashi E, Kodama Y, Kuraoka A, Ishikawa Y, Nakamura M, Sagawa K, Ishikawa S.",Terashi E,Circ J,2019,26-04-2019
26803243,Healthy lifestyle factors and incident heart disease and mortality in candidates for primary prevention with statin therapy,"Booth JN 3rd, Colantonio LD, Howard G, Safford MM, Banach M, Reynolds K, Cushman M, Muntner P.",Booth JN 3rd,Int J Cardiol,2016,25-01-2016
22450031,Mitochondrial dynamics in heart disease,Dorn GW 2nd.,Dorn GW 2nd,Biochim Biophys Acta,2013,28-03-2012
19306771,Translation of myocardial metabolic imaging concepts into the clinics,"Bashir A, Gropler RJ.",Bashir A,Cardiol Clin,2009,25-03-2009
9596471,Exposure to environmental tobacco smoke and risk factors for heart disease among never smokers in the Third National Health and Nutrition Examination Survey,"Steenland K, Sieber K, Etzel RA, Pechacek T, Maurer K.",Steenland K,Am J Epidemiol,1998,22-05-1998
20038408,Spanish cardiac catheterization and coronary intervention registry. 18th official report of the Spanish Society of Cardiology Working Group on Cardiac Catheterization and Interventional Cardiology (1990-2008),"Baz JA, Albarrán A, Pinar E, Mauri J.",Baz JA,Rev Esp Cardiol,2009,30-12-2009
18379554,Clinical outcome in children with acute renal failure treated with peritoneal dialysis after surgery for congenital heart disease,"Pedersen KR, Hjortdal VE, Christensen S, Pedersen J, Hjortholm K, Larsen SH, Povlsen JV.",Pedersen KR,Kidney Int Suppl,2008,03-05-2008
10816175,[Clinical practice guidelines of the Spanish Society of Cardiology for physical activity in patients with cardiac disease],"Boraita Pérez A, Baño Rodrigo A, Berrazueta Fernández JR, Lamiel Alcaine R, Luengo Fernández E, Manonelles Marqueta P, Pons I de Beristain C.",Boraita Pérez A,Rev Esp Cardiol,2000,18-05-2000
24431031,AMP deaminase 1 gene polymorphism and heart disease-a genetic association that highlights new treatment,"Smolenski RT, Rybakowska I, Turyn J, Romaszko P, Zabielska M, Taegtmeyer A, Słomińska EM, Kaletha KK, Barton PJ.",Smolenski RT,Cardiovasc Drugs Ther,2014,17-01-2014
33932992,An Aboriginal and Torres Strait Islander Cardiac Rehabilitation program delivered in a non-Indigenous health service (Yeddung Gauar): a mixed methods feasibility study,"Freene N, Brown R, Collis P, Bourke C, Silk K, Jackson A, Davey R, Northam HL.",Freene N,BMC Cardiovasc Disord,2021,02-05-2021
15426974,What's new in cardiovascular surgery,GERBODE F.,GERBODE F,Calif Med,1950,01-07-1950
10723106,Frequency and allelic association of common variants in the lipoprotein lipase gene in different ethnic groups: the Wandsworth Heart and Stroke Study,"Hall S, Talmud PJ, Cook DG, Wicks PD, Rothwell MJ, Strazzullo P, Sagnella GA, Cappuccio FP.",Hall S,Genet Epidemiol,2000,21-03-2000
33610040,Hyperhomocysteinemia-induced Nrf2/HO-1 pathway suppression aggravates cardiac remodeling of hypertensive rats,"Cao P, Zhang W, Kong X, Gao N, Zhao X, Xu R.",Cao P,Biochem Biophys Res Commun,2021,20-02-2021
38395672,Cardiovascular Imaging in Women,"Massalha S, Kennedy J, Hussein E, Mahida B, Keidar Z.",Massalha S,Semin Nucl Med,2024,23-02-2024
9132881,[Non-Hodgkin's lymphoma with heart disease in patients with AIDS: clinical and echocardiographic aspects],"Castro M, Zamorano J, Roca V, Almería C, Furió V, Crespo A, Rodríguez P, Sánchez-Harguindey L.",Castro M,Rev Esp Cardiol,1997,01-03-1997
15527959,"Drosophila, an emerging model for cardiac disease","Bier E, Bodmer R.",Bier E,Gene,2004,06-11-2004
30595303,Lesions of endodontic origin: An emerging risk factor for coronary heart diseases,"Bains R, Bains VK.",Bains R,Indian Heart J,2018,01-01-2019
33473033,Complex congenital heart diseases among children presenting for cardiac surgery in a tertiary health facility in Enugu; South-East Nigeria. A rising trend,"Ujunwa FA, Ujuanbi IS, Chinawa JM.",Ujunwa FA,Niger J Clin Pract,2021,21-01-2021
18019409,Review. Leukocyte and endothelial cell adhesion molecules in inflammation focusing on inflammatory heart disease,"Golias C, Tsoutsi E, Matziridis A, Makridis P, Batistatou A, Charalabopoulos K.",Golias C,In Vivo,2007,21-11-2007
21133643,From European to national guidelines on heart disease,"Grip L, Lindahl B, Levin LÅ, Kärvinge C, Eklund K, Wallentin L.",Grip L,Scand Cardiovasc J,2011,08-12-2010
17156176,"Comparative cardiac pathology among deaths due to cocaine toxicity, opioid toxicity and non-drug-related causes","Darke S, Kaye S, Duflou J.",Darke S,Addiction,2006,13-12-2006
22777135,Fetal cardiac function: M-mode and 4D spatiotemporal image correlation,"Godfrey ME, Messing B, Valsky DV, Cohen SM, Yagel S.",Godfrey ME,Fetal Diagn Ther,2012,11-07-2012
35353320,"Impact of sex on clinical, procedural characteristics and outcomes of catheter ablation for ventricular arrhythmias according to underlying heart disease","Pham T, Bennett R, Kanawati J, Campbell T, Turnbull S, Thomas SP, Kumar S.",Pham T,J Interv Card Electrophysiol,2023,30-03-2022
30530469,Sea squirt alternative oxidase bypasses fatal mitochondrial heart disease,Saada A.,Saada A,EMBO Mol Med,2019,12-12-2018
18086941,Pulmonary diseases and the heart,"Han MK, McLaughlin VV, Criner GJ, Martinez FJ.",Han MK,Circulation,2007,19-12-2007
37828735,Improved Surgical Outcomes in Adults with Congenital Heart Disease and Decompensated Heart Failure: The Role of Perioperative Medical Optimization,"Minaev A, Podzolkov V, Danilov T, Chiaureli M, Mwela BM, Dontsova V.",Minaev A,Am J Case Rep,2023,13-10-2023
30375391,"Following hearts, one cell at a time: recent applications of single-cell RNA sequencing to the understanding of heart disease","Ackers-Johnson M, Tan WLW, Foo RS.",Ackers-Johnson M,Nat Commun,2018,31-10-2018
37104562,The Lymphatic Vasculature in Cardiac Development and Ischemic Heart Disease,"Liu X, Oliver G.",Liu X,Circ Res,2023,27-04-2023
26992113,Costs of Health Damage from Atmospheric Emissions of Toxic Metals: Part 2-Analysis for Mercury and Lead,"Nedellec V, Rabl A.",Nedellec V,Risk Anal,2016,19-03-2016
34996993,Study of risk factors for healthcare-associated infections in acute cardiac patients using categorical principal component analysis (CATPCA),"Renes Carreño E, Escribá Bárcena A, Catalán González M, Álvarez Lerma F, Palomar Martínez M, Nuvials Casals X, Jaén Herreros F, Montejo González JC.",Renes Carreño E,Sci Rep,2022,08-01-2022
38256155,The Role of Pro-Inflammatory Cytokines in the Pathogenesis of Cardiovascular Disease,"Zhang H, Dhalla NS.",Zhang H,Int J Mol Sci,2024,23-01-2024
20412695,Cardiac magnetic resonance imaging in Churg-Strauss-syndrome. Impact of immunosuppressants on outcome assessed in a prospective study on 8 patients,"Marmursztejn J, Cohen P, Duboc D, Pagnoux C, Mouthon L, Guilpain P, Legmann P, Guillevin L, Vignaux O.",Marmursztejn J,Clin Exp Rheumatol,2010,24-04-2010
6925092,Assessing potential predisposition of elementary school children to heart disease,"Crow TA, Brown R, Hubbard EJ, Copeland LR.",Crow TA,J Sch Health,1982,01-12-1982
8174586,Emerging patterns of heart disease in HIV infected homosexual subjects with and without opportunistic infections; a prospective colour flow Doppler echocardiographic study,"Akhras F, Dubrey S, Gazzard B, Noble MI.",Akhras F,Eur Heart J,1994,01-01-1994
19673669,Cellular cardiac regenerative therapy in which patients?,Chachques JC.,Chachques JC,Expert Rev Cardiovasc Ther,2009,14-08-2009
12791351,Congenital heart disease and associated malformations in children with cleft lip and palate in Pakistan,"Shafi T, Khan MR, Atiq M.",Shafi T,Br J Plast Surg,2003,07-06-2003
10733763,Intracardiac thrombus formation after the Fontan operation,"Balling G, Vogt M, Kaemmerer H, Eicken A, Meisner H, Hess J.",Balling G,J Thorac Cardiovasc Surg,2000,25-03-2000
27538786,Hypolipidemic and cardioprotective benefits of a novel fireberry hawthorn fruit extract in the JCR:LA-cp rodent model of dyslipidemia and cardiac dysfunction,"Diane A, Borthwick F, Wu S, Lee J, Brown PN, Dickinson TA, Croft KD, Vine DF, Proctor SD.",Diane A,Food Funct,2016,20-08-2016
35174762,MKELM: Mixed Kernel Extreme Learning Machine using BMDA optimization for web services based heart disease prediction in smart healthcare,"Sheeba A, Padmakala S, Subasini CA, Karuppiah SP.",Sheeba A,Comput Methods Biomech Biomed Engin,2022,17-02-2022
15542380,Genomic and proteomic profiles of heart disease,"Prentice H, Webster KA.",Prentice H,Trends Cardiovasc Med,2004,16-11-2004
38891063,"The Impact of Natriuretic Peptides on Heart Development, Homeostasis, and Disease","Giovou AE, Gladka MM, Christoffels VM.",Giovou AE,Cells,2024,19-06-2024
12710315,Regional left ventricle mechanical asynchrony in patients with heart disease and normal QRS duration: implication for biventricular pacing therapy,"Yu CM, Yang H, Lau CP, Wang Q, Wang S, Lam L, Sanderson JE.",Yu CM,Pacing Clin Electrophysiol,2003,25-04-2003
16145345,Electrocardiographic abnormalities in patients with acute pancreatitis,"Rubio-Tapia A, García-Leiva J, Asensio-Lafuente E, Robles-Díaz G, Vargas-Vorácková F.",Rubio-Tapia A,J Clin Gastroenterol,2005,08-09-2005
11114457,Attitudes towards CPR training and performance in family members of patients with heart disease,"Platz E, Scheatzle MD, Pepe PE, Dearwater SR.",Platz E,Resuscitation,2000,15-12-2000
18496221,Depiction of gene-environment relationships in online medical recommendations,"Cheng Y, Condit C, Flannery D.",Cheng Y,Genet Med,2008,23-05-2008
24095570,Multistage approach for clustering and classification of ECG data,"Abawajy JH, Kelarev AV, Chowdhury M.",Abawajy JH,Comput Methods Programs Biomed,2013,08-10-2013
34100351,Physical and mental health in young adults with heart disease - a national survey of Norwegian university students,"Leirgul E, Hysing M, Greve G, Sivertsen B.",Leirgul E,Cardiol Young,2022,08-06-2021
19092043,Early life exposure to poor nutrition and infectious diseases and its effects on the health of older Puerto Rican adults,"McEniry M, Palloni A, Dávila AL, Gurucharri AG.",McEniry M,J Gerontol B Psychol Sci Soc Sci,2008,19-12-2008
35176188,Delayed intrinsicoid deflection: Electrocardiographic harbinger of heart disease,"Aiken AV, Goldhaber JI, Chugh SS.",Aiken AV,Ann Noninvasive Electrocardiol,2022,17-02-2022
33308004,Ethnic variability in mortality from ischaemic heart disease/cardiomegaly in Malaysia,"Ly CK, Nadesan K, Samberkar SP, Byard RW, Samberkar PN.",Ly CK,Med Leg J,2021,14-12-2020
32502425,Assessing Cardiac Risk in Pregnant Women With Heart Disease: How Risk Scores Are Created and Their Role in Clinical Practice,"D'Souza RD, Silversides CK, Tomlinson GA, Siu SC.",D'Souza RD,Can J Cardiol,2020,06-06-2020
